,lines,month,ridership,additional_platform_time,additional_train_time,over_five_mins_perc,wait_assessment,service_delivered,terminal_on_time_performance,percent_late,infra_critical,noninfra_critical,infra_noncritical,noninfra_noncritical
157,N,1,51064.5,1.8459138,0.34529787,0.17322369,0.61984736,0.90909094,0.7657935,0.0,4,0,1969,463
158,N,2,49282.625,1.4450108,0.32574776,0.16231957,0.6509823,0.9265471,0.79031175,0.0,1,1,1439,431
159,"N,D",1,45982.0,3.788293,1.2621150700000001,0.39499483,1.24101406,1.79760764,1.53696495,0.03437592,5,1,3208,775
160,"N,D",2,42572.0,3.0577604,1.09502356,0.37304269,1.2770983999999999,1.8207299,1.5333721,0.04042332,7,1,2636,715
161,"N,Q,R,W",1,307821.0,5.5843255,1.2188917730000002,0.59942853,1.6363606499999999,2.56354815,2.27998326,0.099438556,10,1,4560,1214
162,"N,Q,R,W",2,287300.0,4.8867991,1.047857584,0.56446899,1.7397714,2.6265982,2.29837901,0.11505995,9,3,3738,980
163,"N,Q,R,W,SG,1,2,3,7,A,C,E",1,1670789.0,14.28591783,3.695510743,1.4544152149,7.335425010000002,10.08546393,8.90118764,0.36064732,24,6,11869,4595
164,"N,Q,R,W,SG,1,2,3,7,A,C,E",2,1584405.0,13.170595080000002,3.7395250439999996,1.4142038177999998,7.44325801,10.145072899999999,8.84341853,0.400744075,24,9,10744,3955
165,"N,R",1,124947.0,4.1978396,0.300109473,0.39653781,0.97267348,1.63062668,1.48941386,0.027744086,9,1,3620,635
166,"N,R",2,119239.0,3.6602578,0.292961484,0.37768020999999996,1.0231262,1.6644112,1.49668491,0.03550506,9,2,2940,584
167,"N,R,W",1,182596.0,4.1978396,0.300109473,0.39653781,0.97267348,1.63062668,1.48941386,0.027744086,9,1,3620,635
168,"N,R,W",2,167507.0,3.6602578,0.292961484,0.37768020999999996,1.0231262,1.6644112,1.49668491,0.03550506,9,2,2940,584
169,"N,R,W,4,5,6",1,485506.0,7.22914034,2.1734924330000003,0.78303184,2.99542298,4.4618924,3.89487565,0.121885876,13,13,6100,3388
170,"N,R,W,4,5,6",2,450608.0,6.661356,1.6591395740000001,0.7138981,3.07125285,4.50350552,3.9634036,0.138613719,16,6,5346,2341
171,"N,W",1,98627.33333333333,1.8459138,0.34529787,0.17322369,0.61984736,0.90909094,0.7657935,0.0,4,0,1969,463
172,"N,W",2,93220.16666666667,1.4450108,0.32574776,0.16231957,0.6509823,0.9265471,0.79031175,0.0,1,1,1439,431
173,Q,1,105709.08333333333,1.3864859,0.9187823,0.20289072,0.66368717,0.93292147,0.7905694,0.07169447,1,0,940,579
174,Q,2,97677.75,1.2265413,0.7548961,0.18678878,0.7166452,0.962187,0.8016941,0.07955489,0,1,798,396
175,R,1,64791.0,2.3519258,-0.045188397,0.22331412,0.35282612,0.72153574,0.72362036,0.027744086,5,1,1651,172
176,R,2,61703.666666666664,2.215247,-0.032786276,0.21536064,0.3721439,0.7378641,0.70637316,0.03550506,8,1,1501,153
177,"R,2,3,4,5",1,272643.0,6.24849357,2.367043503,0.7413840759999999,3.0096802200000004,4.47416475,3.8187632199999997,0.165150233,14,9,4965,3404
178,"R,2,3,4,5",2,259169.0,5.9619403,1.830810114,0.66976849,3.0990228,4.51136446,3.85495327,0.186564861,16,4,4705,2218
179,"R,W",1,104098.83333333333,1.8459138,0.34529787,0.17322369,0.61984736,0.90909094,0.7657935,0.0,4,0,1969,463
180,"R,W",2,102120.66666666667,1.4450108,0.32574776,0.16231957,0.6509823,0.9265471,0.79031175,0.0,1,1,1439,431
181,SF,1,16494.0,0.30308694,0.005989666,0.03689731,0.99242425,0.9962121,0.9903475,0.0,0,0,37,13
182,SF,2,15120.0,0.3478314,0.015580897,0.05136248,0.9956076,0.998538,0.9962406,0.0,0,0,9,8
183,"SG,4,5,6,7",1,1587648.0,4.28895514,1.9746090000000003,0.4677623189,3.7283516,4.77820188,4.33957569,0.12785045,5,13,3179,2984
184,"SG,4,5,6,7",2,1455317.0,4.663916680000001,1.9758538899999998,0.4496189478,3.68644716,4.74062906,4.37094124,0.14880559899999998,9,5,3158,2169
